Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
ERN - HOSPITAL DR JOSÉ PEDRO BEZERRA DE NATAL;925778;30;Serviço;925778-20/2026;Nutrição Parenteral;Catálogo do Compras.gov.br;Material;6505;DROGAS E MEDICAMENTOS;;;;;-;0,0000;0,0000;940799,7600;0,0000;30/12/2026
ERN - HOSPITAL DR JOSÉ PEDRO BEZERRA DE NATAL;925778;1836;Serviço;925778-4/2026;Serviços Diversos;Catálogo do Compras.gov.br;Serviço;872;SERVIÇOS DE REPARO DE OUTROS BENS;;;;;-;0,0000;0,0000;50000,0000;0,0000;31/12/2026
ERN - HOSPITAL DR JOSÉ PEDRO BEZERRA DE NATAL;925778;1837;Serviço;925778-4/2026;Serviços Diversos;Catálogo do Compras.gov.br;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;;;;;-;0,0000;0,0000;10000,0000;0,0000;31/12/2026
ERN - HOSPITAL DR JOSÉ PEDRO BEZERRA DE NATAL;925778;1;Material;925778-22/2026;Material de vestuários, tecidos, aviamentos;Catálogo do Compras.gov.br;Material;6532;VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS;30093;AVENTAL CIRÚRGICO - PARAMENTAÇÃO;604933;ESTERILIDADE: ESTERILIZÁVEL, GRAMATURA: MÍNIMO DE 200, MATERIAL: 100% ALGODÃO, MODELO MANGA: LONGA C/ PUNHO EM MALHA, TAMANHO: PEQUENO (P), TIPO FECHAMENTO: POSTERIOR P/ PESCOÇO E CINTURA;UN;500,0000;35,0000;17500,0000;0,0000;30/12/2026
ERN - HOSPITAL DR JOSÉ PEDRO BEZERRA DE NATAL;925778;2;Material;925778-22/2026;Material de vestuários, tecidos, aviamentos;Catálogo do Compras.gov.br;Material;6532;VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS;30093;AVENTAL CIRÚRGICO - PARAMENTAÇÃO;604934;ESTERILIDADE: ESTERILIZÁVEL, GRAMATURA: MÍNIMO DE 200, MATERIAL: 100% ALGODÃO, MODELO MANGA: LONGA C/ PUNHO EM MALHA, TAMANHO: MÉDIO (M), TIPO FECHAMENTO: POSTERIOR P/ PESCOÇO E CINTURA;UN;500,0000;35,0000;17500,0000;0,0000;30/12/2026
ERN - HOSPITAL DR JOSÉ PEDRO BEZERRA DE NATAL;925778;3;Material;925778-22/2026;Material de vestuários, tecidos, aviamentos;Catálogo do Compras.gov.br;Material;6532;VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS;30093;AVENTAL CIRÚRGICO - PARAMENTAÇÃO;604935;ESTERILIDADE: ESTERILIZÁVEL, GRAMATURA: MÍNIMO DE 200, MATERIAL: 100% ALGODÃO, MODELO MANGA: LONGA C/ PUNHO EM MALHA, TAMANHO: GRANDE (G), TIPO FECHAMENTO: POSTERIOR P/ PESCOÇO E CINTURA;UN;500,0000;35,0000;17500,0000;0,0000;30/12/2026
ERN - HOSPITAL DR JOSÉ PEDRO BEZERRA DE NATAL;925778;4;Material;925778-22/2026;Material de vestuários, tecidos, aviamentos;Catálogo do Compras.gov.br;Material;6532;VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS;19713;LENÇOL CAMA;617741;CARACTERÍSTICAS ADICIONAIS: CONFORME MODELO E PADRONAGEM DO ÓRGÃO., COR: BRANCO, MATERIAL: 100% ALGODÃO, MEDIDAS MÍNIMAS ( C X L ): 140 X 260;UN;5000,0000;26,8000;134000,0000;0,0000;30/12/2026
ERN - HOSPITAL DR JOSÉ PEDRO BEZERRA DE NATAL;925778;5;Material;925778-22/2026;Material de vestuários, tecidos, aviamentos;Catálogo do Compras.gov.br;Material;6532;VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS;19713;LENÇOL CAMA;483489;COR: BRANCO, IMPRESSÃO: COM LOGOMARCA, MATERIAL: 100% ALGODÃO, MEDIDAS MÍNIMAS ( C X L ): 2,80 X 1,80, TIPO FIXAÇÃO: SEM ELÁSTICO;UN;5000,0000;28,0000;140000,0000;0,0000;30/12/2026
ERN - HOSPITAL DR JOSÉ PEDRO BEZERRA DE NATAL;925778;6;Material;925778-22/2026;Material de vestuários, tecidos, aviamentos;Catálogo do Compras.gov.br;Material;6532;VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS;19713;LENÇOL CAMA;614551;COR: BRANCO, MATERIAL: 100% ALGODÃO, MEDIDAS MÍNIMAS ( C X L ): 1,88 X 0,88, TIPO FIXAÇÃO: SEM ELÁSTICO;UN;3000,0000;21,0000;63000,0000;0,0000;30/12/2026
ERN - HOSPITAL DR JOSÉ PEDRO BEZERRA DE NATAL;925778;7;Material;925778-22/2026;Material de vestuários, tecidos, aviamentos;Catálogo do Compras.gov.br;Material;6532;VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS;19713;LENÇOL CAMA;459623;COR: BRANCO, GRAMATURA MÍNIMA: 200, IMPRESSÃO: PERSONALIZADA E RESISTENTE A LAVAGEM INDUSTRIAL, MATERIAL: POLIÉSTER E ALGODÃO, MEDIDAS MÍNIMAS ( C X L ): 1,32 X 0,62, TIPO FIXAÇÃO: TRAÇADO SEM ELÁSTICO;UN;500,0000;17,0000;8500,0000;0,0000;30/12/2026
