Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;1;Serviço;931528-110/2026;PATRIMÔNIO - Gerador. A presente solicitação tem como finalidade a contratação de serviços de manute;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;2356;MANUTENÇÃO DE GRUPOS DIESEL GERADOR DE EMERGÊNCIA;-;12,0000;234813,0100;2817756,1200;0,0000;21/12/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;2;Serviço;931528-109/2026;PATRIMÔNIO - CEQUIP - Serviços de manutenção de equipamentos e aparelhos médico hospitalar.;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;;;-;0,0000;0,0000;11326174,6800;0,0000;21/09/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;3;Serviço;931528-108/2026;PATRIMÔNIO - Climatização. A presente solicitação tem como finalidade a contratação de serviços de m;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;22454;AR CONDICIONADO - MANUTENÇÃO SISTEMA CENTRAL;-;12,0000;23900,0000;286800,0000;0,0000;21/12/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;4;Serviço;931528-107/2026;PATRIMÔNIO - Frigobar e Bebedouros. Contratação Contratação de empresa especializada em serviços de;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;3506;MANUTENÇÃO DE GELADEIRAS E BEBEDOUROS;-;12,0000;17589,9200;211079,0400;0,0000;21/09/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;5;Serviço;931528-106/2026;PATRIMÔNIO - Contratação de empresa especializada em serviços de Manutenção Preventiva e Corretiva,;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;;;-;0,0000;0,0000;1182329,6700;0,0000;21/09/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;6;Serviço;931528-105/2026;PATRIMÔNIO - Manutenção de elevadores;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;16691;INSPEÇÃO E AVALIAÇÃO DE MANUTENÇÃO - ELEVADOR / ESCADA ROLANTE;-;12,0000;11462,6700;137552,0400;0,0000;21/09/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;7;Serviço;931528-104/2026;PATRIMÔNIO - Veículos. Contratação de empresa especializada em serviços de Manutenção Preventiva e C;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;3565;MANUTENÇÃO DE VEÍCULOS LEVES E PESADOS;-;12,0000;25573,5000;306882,0000;0,0000;21/09/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;8;Material;931528-103/2026;PATRIMONIO - CEQUIP Aquisição de equipamentos hospitalares;Catálogo do Compras.gov.br;Material;7290;UTENSÍLIOS COMERCIAIS E DOMÉSTICOS DIVERSOS;2640;APARELHO / EQUIPAMENTO PARA CONDICIONAMENTO FÍSICO;426778;APLICAÇÃO: CONDICIONAMENTO FÍSICO, CARACTERISTICAS ADICIONAIS: ACOMPANHA BOMBA P/ INFLAR, ADAPTADOR E EXTENSOR, DIMENSÕES: CARGA ATE 300 KG E DIÂMETRO 45, MATERIAL: PVC ANTIDERRAPANTE, TIPO: BOLA PARA PILATES, MODELO: BOLA SUIÇA;UN;4,0000;79,9000;319,6000;0,0000;21/09/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;9;Material;931528-103/2026;PATRIMONIO - CEQUIP Aquisição de equipamentos hospitalares;Catálogo do Compras.gov.br;Material;7290;UTENSÍLIOS COMERCIAIS E DOMÉSTICOS DIVERSOS;2640;APARELHO / EQUIPAMENTO PARA CONDICIONAMENTO FÍSICO;411185;APLICAÇÃO: CONDICIONAMENTO FÍSICO, CARACTERISTICAS ADICIONAIS: DIÂMETRO: 55 CM/PVC ANTIDERRAPANETEM/CARGA: 300 KG, TIPO: BOLA PARA PILATES, MODELO: BOLA SUIÇA;UN;4,0000;74,9000;299,6000;0,0000;21/09/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;10;Material;931528-103/2026;PATRIMONIO - CEQUIP Aquisição de equipamentos hospitalares;Catálogo do Compras.gov.br;Material;7290;UTENSÍLIOS COMERCIAIS E DOMÉSTICOS DIVERSOS;2640;APARELHO / EQUIPAMENTO PARA CONDICIONAMENTO FÍSICO;411183;APLICAÇÃO: CONDICIONAMENTO FÍSICO, CARACTERISTICAS ADICIONAIS: DIÂMETRO: 65 CM/PVC ANTIDERRAPANETEM/CARGA: 300 KG, TIPO: BOLA PARA PILATES, MODELO: BOLA SUIÇA;UN;4,0000;88,9000;355,6000;0,0000;21/09/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;11;Material;931528-103/2026;PATRIMONIO - CEQUIP Aquisição de equipamentos hospitalares;Catálogo do Compras.gov.br;Material;9390;PRODUTOS DIVERSOS NÃO METÁLICOS;18359;CONE;447976;ALTURA: 23, APLICAÇÃO: ATIVIDADE FÍSICA, CARACTERÍSTICAS ADICIONAIS: CONE DE AGILIDADE, DEMARCATÓRIO, CORES VARIADAS, MATERIAL: PVC;EMB;2,0000;53,9900;107,9800;0,0000;21/09/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;12;Material;931528-103/2026;PATRIMONIO - CEQUIP Aquisição de equipamentos hospitalares;Catálogo do Compras.gov.br;Material;9390;PRODUTOS DIVERSOS NÃO METÁLICOS;18359;CONE;447975;ALTURA: 4, APLICAÇÃO: ATIVIDADE FÍSICA, CARACTERÍSTICAS ADICIONAIS: CONE, CHAPÉU CHINÊS, DEMARCATÓRIO, CORES VARIADAS, MATERIAL: PVC;EMB;2,0000;37,9000;75,8000;0,0000;21/09/2026
HOSPITAL DA MULHER PARTEIRA MARIA CORREIA/RN;931528;13;Material;931528-103/2026;PATRIMONIO - CEQUIP Aquisição de equipamentos hospitalares;Catálogo do Compras.gov.br;Material;8120;CILINDROS COMERCIAIS E INDUSTRIAIS PARA GASES;1178;CILINDRO GÁS;606413;ALTURA: 662, CAPACIDADE ARMAZENAGEM: 11,1, CARACTERÍSTICAS ADICIONAIS: CONEXÕES DIN/YOKE, COM VÁLVULA DE SEGURANÇA, DIÂMETRO: 184, MATERIAL: ALUMÍNIO, PRESSÃO TESTE: 207, TIPO GÁS: AR COMPRIMIDO;UN;1,0000;2278,9600;2278,9600;0,0000;21/09/2026
