Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
ERN-HOSPITAL REG.TARCÍSIO DE VASCONCELOS MAIA;927052;1;Serviço;927052-12/2026;Prestação de Serviços e Manutenção;Catálogo do Compras.gov.br;Serviço;732;SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS;;;14206;LOCAÇÃO DE EQUIPAMENTO DE LABORATÓRIO;-;12,0000;12103,0000;145236,0000;0,0000;30/10/2026
ERN-HOSPITAL REG.TARCÍSIO DE VASCONCELOS MAIA;927052;2;Serviço;927052-12/2026;Prestação de Serviços e Manutenção;Catálogo do Compras.gov.br;Serviço;112;SERVIÇOS DE MANUTENÇÃO E SUSTENTAÇÃO DE SOFTWARE;;;25992;MANUTENÇÃO DE SOFTWARE (CORRETIVA, PREVENTIVA, ADAPTATIVA);-;12,0000;20300,0000;243600,0000;0,0000;30/10/2026
ERN-HOSPITAL REG.TARCÍSIO DE VASCONCELOS MAIA;927052;3;Serviço;927052-12/2026;Prestação de Serviços e Manutenção;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;4405;LOCAÇÃO / MANUTENÇÃO DE EQUIPAMENTOS PERMANENTES;-;4,0000;5000,0000;20000,0000;0,0000;30/10/2026
ERN-HOSPITAL REG.TARCÍSIO DE VASCONCELOS MAIA;927052;4;Serviço;927052-12/2026;Prestação de Serviços e Manutenção;Catálogo do Compras.gov.br;Serviço;152;OUTSOURCING DE IMPRESSÃO - MODALIDADE LOCAÇÃO DE EQUIPAMENTOMAIS PÁGINAS IMPRESSAS;;;26816;OUTSOURCING DE IMPRESSÃO - LOCAÇÃO PÁGINAS IMPRESSAS A4  SEMPAPEL;-;1440000,0000;0,0100;14400,0000;0,0000;30/10/2026
ERN-HOSPITAL REG.TARCÍSIO DE VASCONCELOS MAIA;927052;5;Serviço;927052-12/2026;Prestação de Serviços e Manutenção;Catálogo do Compras.gov.br;Serviço;732;SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS;;;14206;LOCAÇÃO DE EQUIPAMENTO DE LABORATÓRIO;-;12,0000;50000,0000;600000,0000;0,0000;30/10/2026
ERN-HOSPITAL REG.TARCÍSIO DE VASCONCELOS MAIA;927052;6;Serviço;927052-12/2026;Prestação de Serviços e Manutenção;Catálogo do Compras.gov.br;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;;;24597;MANUTENÇÃO - PLANEJAMENTO DE SERVIÇOS;-;12,0000;5656,4800;67877,7600;0,0000;30/10/2026
ERN-HOSPITAL REG.TARCÍSIO DE VASCONCELOS MAIA;927052;7;Serviço;927052-12/2026;Prestação de Serviços e Manutenção;Catálogo do Compras.gov.br;Serviço;181;SERVICOS DE ARRENDAMENTO MERCANTIL, FINANCEIRO E OPERACIONAL;;;27405;LOCAÇÃO DE ESTAÇÃO DE  TRABALHO - ARRENDAMENTO MERCANTIL OPERACIONAL DE MÁQUINAS E EQUIPAMENTOS, SEM OPERADOR;-;12,0000;3850,0000;46200,0000;0,0000;30/10/2026
ERN-HOSPITAL REG.TARCÍSIO DE VASCONCELOS MAIA;927052;8;Serviço;927052-12/2026;Prestação de Serviços e Manutenção;Catálogo do Compras.gov.br;Serviço;732;SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS;;;14206;LOCAÇÃO DE EQUIPAMENTO DE LABORATÓRIO;-;12,0000;6800,0000;81600,0000;0,0000;30/10/2026
ERN-HOSPITAL REG.TARCÍSIO DE VASCONCELOS MAIA;927052;9;Serviço;927052-12/2026;Prestação de Serviços e Manutenção;Catálogo do Compras.gov.br;Serviço;152;OUTSOURCING DE IMPRESSÃO - MODALIDADE LOCAÇÃO DE EQUIPAMENTOMAIS PÁGINAS IMPRESSAS;;;26735;OUTSOURCING DE  IMPRESSÃO - LOCAÇÃO DE EQUIPAMENTO - MONOCROMÁTICO A4 ATÉ 30 PPM;-;40,0000;3000,0000;120000,0000;0,0000;30/10/2026
ERN-HOSPITAL REG.TARCÍSIO DE VASCONCELOS MAIA;927052;10;Serviço;927052-12/2026;Prestação de Serviços e Manutenção;Catálogo do Compras.gov.br;Serviço;181;SERVICOS DE ARRENDAMENTO MERCANTIL, FINANCEIRO E OPERACIONAL;;;27405;LOCAÇÃO DE ESTAÇÃO DE  TRABALHO - ARRENDAMENTO MERCANTIL OPERACIONAL DE MÁQUINAS E EQUIPAMENTOS, SEM OPERADOR;-;12,0000;28350,0000;340200,0000;0,0000;30/10/2026
