Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;11;Material;925551-42/2026;Aquisição de utensílios de copa e cozinha;Catálogo do Compras.gov.br;Material;7210;UTENSÍLIOS DOMÉSTICOS;;;;;-;0,0000;0,0000;70000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;45;Material;925551-14/2026;Aquisição de paletes;Catálogo do Compras.gov.br;Material;9330;ARTIGOS DE PLÁSTICO;1346;PALETE;;;-;0,0000;0,0000;15000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;60;Material;925551-7/2026;Aquisição de material de expediente;Catálogo do Compras.gov.br;Material;7510;ARTIGOS PARA ESCRITÓRIO;;;;;-;0,0000;0,0000;150000,0000;0,0000;30/06/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;67;Material;925551-1/2026;Aquisição de medicamentos;Catálogo do Compras.gov.br;Material;6505;DROGAS E MEDICAMENTOS;;;;;-;0,0000;0,0000;2400000,0000;0,0000;30/09/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;68;Material;925551-1/2026;Aquisição de medicamentos;Catálogo do Compras.gov.br;Material;6505;DROGAS E MEDICAMENTOS;;;;;-;0,0000;0,0000;290000,0000;0,0000;30/09/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;71;Material;925551-4/2026;Aquisição de computadores e equipamentos de TI;Catálogo do Compras.gov.br;Material;7010;COMPUTADORES;;;;;-;0,0000;0,0000;90000,0000;0,0000;30/09/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;1;Material;925551-51/2026;Aquisição de instrumentais cirúrgicos convencionais e para videolaparoscopia;Catálogo do Compras.gov.br;Material;6515;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS;30039;INSTRUMENTAL CIRÚRGICO;;;-;0,0000;0,0000;140000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;2;Serviço;925551-50/2026;Contratação de empresa para a manutenção de equipamentos de centro cirúrgico;Catálogo do Compras.gov.br;Serviço;872;SERVIÇOS DE REPARO DE OUTROS BENS;;;;;-;0,0000;0,0000;300000,0000;0,0000;10/11/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;3;Serviço;925551-49/2026;Contratação de empresa especializada na manutenção de câmaras frias;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;;;-;0,0000;0,0000;120000,0000;0,0000;10/11/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;4;Serviço;925551-48/2026;Contração e empresa especializada na manutenção monitores multiparametricos;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;;;-;0,0000;0,0000;256000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;5;Serviço;925551-47/2026;Contratação de serviços de monitoramento de ambientes por câmeras;Catálogo do Compras.gov.br;Serviço;852;SERVIÇOS DE INVESTIGAÇÃO E SEGURANÇA;;;21660;MONITORAMENTO DE IMAGENS DE CAMERAS E CIRCUITO FECHADO TV;-;12,0000;20000,0000;240000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;6;Serviço;925551-46/2026;Contratação de empresa especializada na locação de equipamentos de laboratório;Catálogo do Compras.gov.br;Serviço;732;SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS;;;14206;LOCAÇÃO DE EQUIPAMENTO DE LABORATÓRIO;-;12,0000;25000,0000;300000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;7;Material;925551-45/2026;Aquisição de gêneros alimentícios;Catálogo do Compras.gov.br;Material;8940;ALIMENTOS ESPECIAIS DIETÉTICOS E PREPARADOS ALIMENTÍCIOS;4794;CESTA BÁSICA - GÊNEROS ALIMENTÍCIOS;;;-;0,0000;0,0000;250000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;8;Material;925551-44/2026;Aquisição de fórmulas infantis;Catálogo do Compras.gov.br;Material;8940;ALIMENTOS ESPECIAIS DIETÉTICOS E PREPARADOS ALIMENTÍCIOS;5648;DIETA INFANTIL;;;-;0,0000;0,0000;50000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;9;Material;925551-43/2026;Aquisição de equipamentos para o setor de Nutrição;Catálogo do Compras.gov.br;Material;7310;EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS;;;;;-;0,0000;0,0000;180000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;10;Material;925551-43/2026;Aquisição de equipamentos para o setor de Nutrição;Catálogo do Compras.gov.br;Material;7290;UTENSÍLIOS COMERCIAIS E DOMÉSTICOS DIVERSOS;;;;;-;0,0000;0,0000;75000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;12;Serviço;925551-41/2026;Contratação de farmácia de manipulação;Catálogo do Compras.gov.br;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;;;15660;MANIPULAÇÃO DE FÓRMULAS - MEDICAMENTOS / COSMÉTICOS /  INSU-MOS FARMACÊUTICOS;-;12,0000;5000,0000;60000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;13;Material;925551-40/2026;Aquisição equipamento de Raios X fixo;Catálogo do Compras.gov.br;Material;6525;EQUIPAMENTOS E SUPRIMENTOS DE RAIOS-X DE USO  MÉDICO,  DENTÁRIO E VETERINÁRIO;;;;;-;0,0000;0,0000;370000,0000;0,0000;30/10/2026
ERN - HOSPITAL MARIA ALICE FERNANDES;925551;14;Material;925551-39/2026;Aquisição de equipamento de proteção individual radiológica;Catálogo do Compras.gov.br;Material;6525;EQUIPAMENTOS E SUPRIMENTOS DE RAIOS-X DE USO  MÉDICO,  DENTÁRIO E VETERINÁRIO;18113;PROTETOR RADIOLÓGICO;;;-;0,0000;0,0000;120000,0000;0,0000;30/10/2026
