Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;185;Material;932126-15/2026;Enxoval hospitalar;Catálogo do Compras.gov.br;Material;7210;UTENSÍLIOS DOMÉSTICOS;19709;COLCHÃO;601942;CARACTERÍSTICAS ADICIONAIS: ANTIALÉRGICO, DENSIDADE: D-23, MATERIAL: ESPUMA POLIURETANO / CONVENCIONAL, TAMANHO ALTURA: 12, TAMANHO LARGURA X COMPRIMENTO: 0,78 X 1,88, TECIDO DE REVESTIMENTO: 100% ALGODÃO, TIPO: ESPUMA;UN;100,0000;226,0000;22600,0000;0,0000;31/12/2026
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;1;Serviço;932126-22/2026;Dosimetria pessoal;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;15121;DOSIMETRIA PESSOAL;-;216,0000;22,0000;4752,0000;0,0000;31/12/2026
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;2;Serviço;932126-20/2026;Contratação de serviços - Hemodiálise;Catálogo do Compras.gov.br;Serviço;731;SERVIÇOS DE LEASING OU ALUGUEL VEÍCULOS A MOTOR, FERROVIÁRIOEMBARCAÇÕES, AERONAVES, DE EQUIPAMENTO DE TRANSPORTE, S/OPER;;;22829;LOCAÇÃO / MANUTENÇÃO MÁQUINA HEMODIÁLISE;-;1,0000;1200000,0000;1200000,0000;0,0000;31/12/2026
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;3;Serviço;932126-20/2026;Contratação de serviços - Hemodiálise;Catálogo do Compras.gov.br;Serviço;731;SERVIÇOS DE LEASING OU ALUGUEL VEÍCULOS A MOTOR, FERROVIÁRIOEMBARCAÇÕES, AERONAVES, DE EQUIPAMENTO DE TRANSPORTE, S/OPER;;;20222;LOCAÇÃO EQUIPAMENTO / INSTRUMENTO / PEÇA / COMPONENTE - MÉDICO / ODONTOLÓGICO / OFTALMOLÓGICO;-;7,0000;45000,0000;315000,0000;0,0000;31/12/2026
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;373;Material;932126-11/2026;Materiais descartáveis;Catálogo do Compras.gov.br;Material;8135;MATERIAIS A GRANEL PARA ACONDICIONAMENTO E EMBALAGEM;14831;LACRE SEGURANÇA;246657;APLICAÇÃO: FECHAMENTO DE PORTAS, COMPRIMENTO: 27, COR: BRANCA, MATERIAL: POLIETILENO, TIPO: ESPINHA DE PEIXE;PCT;9,0000;15,0000;135,0000;0,0000;31/12/2026
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;374;Material;932126-11/2026;Materiais descartáveis;Catálogo do Compras.gov.br;Material;8135;MATERIAIS A GRANEL PARA ACONDICIONAMENTO E EMBALAGEM;3324;BARBANTE;420719;COR: CINZA, DIÂMETRO: 1,60, MATERIAL: NÁILON;RO;9,0000;5,6900;51,2100;0,0000;31/12/2026
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;375;Material;932126-11/2026;Materiais descartáveis;Catálogo do Compras.gov.br;Material;8135;MATERIAIS A GRANEL PARA ACONDICIONAMENTO E EMBALAGEM;1389;PAPEL ALUMÍNIO;449374;APLICAÇÃO: USO DOMÉSTICO, APRESENTAÇÃO: ROLO, COMPRIMENTO: 4, LARGURA: 30, MATERIAL: ALUMÍNIO;UN;525,0000;4,8000;2520,0000;0,0000;31/12/2026
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;376;Material;932126-11/2026;Materiais descartáveis;Catálogo do Compras.gov.br;Material;8135;MATERIAIS A GRANEL PARA ACONDICIONAMENTO E EMBALAGEM;1347;PAPEL FILME;421336;COMPRIMENTO: 30, LARGURA: 30, MATERIAL: PVC - CLORETO DE POLIVINILA;UN;525,0000;7,6900;4037,2500;0,0000;31/12/2026
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;377;Material;932126-11/2026;Materiais descartáveis;Catálogo do Compras.gov.br;Material;9930;EQUIPAMENTOS E ARTIGOS MORTUÁRIOS E DE CEMITÉRIO;11906;COBRE CORPO;435432;CARACTERÍSTICAS ADICIONAIS: ZÍPER FRONTAL COM VIÉS E SELAMENTO ELETRÔNICO ETIQ, COMPRIMENTO: 2,20, COR: CINZA, LARGURA: 0,90, MATERIAL: POLIETILENO BAIXA DENSIDADE;UN;240,0000;15,8600;3806,4000;0,0000;31/12/2026
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;378;Material;932126-11/2026;Materiais descartáveis;Catálogo do Compras.gov.br;Material;8145;RECIPIENTES ESPECIALIZADOS PARA TRANSPORTE E ARMAZENAGEM;5798;CONTENTOR;388623;APLICAÇÃO: HORTIFRUTIGRANJEIROS, CAPACIDADE: 50, CARACTERÍSTICAS ADICIONAIS: VAZADO COM ENCAIXES LATERAIS, COR: BRANCA, DIMENSÕES EXTERNAS: 600 X 400 X 400, MATERIAL: POLIETILENO ALTA DENSIDADE;UN;6,0000;47,0000;282,0000;0,0000;31/12/2026
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;379;Material;932126-11/2026;Materiais descartáveis;Catálogo do Compras.gov.br;Material;8145;RECIPIENTES ESPECIALIZADOS PARA TRANSPORTE E ARMAZENAGEM;6502;EMBALAGEM;337382;APLICAÇÃO: ARMAZENAMENTO DE ALIMENTOS, CARACTERÍSTICAS ADICIONAIS: COM TAMPA, REDONDA, Nº 9, MATERIAL: ALUMÍNIO, TIPO: QUENTINHA;CX;360,0000;30,3800;10936,8000;0,0000;31/12/2026
HOSPITAL ESTADUAL TELECILA FREITAS FONTES /RN;932126;380;Material;932126-11/2026;Materiais descartáveis;Catálogo do Compras.gov.br;Material;8105;SACOS E BOLSAS;11902;SACO;309101;APLICAÇÃO: ACONDICIONAMENTO DE ALIMENTOS, CAPACIDADE: 3, MATERIAL: PLÁSTICO TRANSPARENTE;PCT;1500,0000;4,8500;7275,0000;0,0000;31/12/2026
