Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;94;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;1058;CALDEIRÃO;222466;CAPACIDADE: 18 A 38, CARACTERÍSTICAS ADICIONAIS: SEM TAMPA, MATERIAL: METAL, TAMANHO: MÉDIO, ALTURA: 20, ESPESSURA: 2,03 A 2,60;UN;6,0000;130,2600;781,5600;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;95;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;1058;CALDEIRÃO;297299;CAPACIDADE: 45 A 127, CARACTERÍSTICAS ADICIONAIS: COM TAMPAS E ALÇAS REFORÇADAS, FORMATO: CILÍNDRICO, MATERIAL: ALUMÍNIO, TIPO: AMERICANO, TAMANHO: GRANDE, ALTURA: 25, ESPESSURA: 2,03 A 2,60;UN;6,0000;204,9500;1229,7000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;96;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7320;EQUIPAMENTOS E APARELHOS DE COZINHA;4400;CANECA;616648;CAPACIDADE: 3,80, CARACTERÍSTICAS ADICIONAIS: ALCA BAQUELITE, MATERIAL: ALUMÍNIO, USO: COPA E COZINHA;UN;10,0000;73,0200;730,2000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;97;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7320;EQUIPAMENTOS E APARELHOS DE COZINHA;4400;CANECA;443891;CAPACIDADE: 2, CARACTERÍSTICAS ADICIONAIS: FERVEDOR, MATERIAL: AÇO INOXIDÁVEL, USO: COPA E COZINHA;UN;10,0000;45,2000;452,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;98;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;16429;PANELA CUSCUZ;391985;CAPACIDADE: 20, CARACTERÍSTICAS ADICIONAIS: Nº 30, MATERIAL: ALUMÍNIO;UN;6,0000;249,9000;1499,4000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;99;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;16429;PANELA CUSCUZ;336581;CARACTERÍSTICAS ADICIONAIS: ALÇAS DE BAQUELITE, Nº 20, MATERIAL: ALUMÍNIO;UN;2,0000;113,5000;227,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;100;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7340;CUTELARIA E TALHERES;1135;ESPUMADEIRA;283808;MATERIAL CORPO: ALUMÍNIO, COMPRIMENTO CABO: 20;UN;10,0000;51,0000;510,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;101;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7340;CUTELARIA E TALHERES;1135;ESPUMADEIRA;464884;CARACTERÍSTICAS ADICIONAIS: 20 CM DIAMETRO TIPO HOTEL, MATERIAL CABO: MADEIRA, MATERIAL CORPO: ALUMÍNIO, TAMANHO: GRANDE;UN;10,0000;43,7000;437,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;102;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;7843;FRIGIDEIRA;313574;CARACTERÍSTICAS ADICIONAIS: C/ TAMPA E REVESTIMENTO INTERNO E EXTERNO, DIÂMETRO: 28, MATERIAL: ALUMÍNIO, MATERIAL CABO: BAQUELITE ANTITÉRMICO, REVESTIMENTO: TEFLON;UN;4,0000;65,0300;260,1200;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;103;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;7843;FRIGIDEIRA;441363;APLICAÇÃO: COPA E COZINHA, DIÂMETRO: 40, MATERIAL: ALUMÍNIO POLIDO, MATERIAL CABO: BAQUELITE ANTITÉRMICO, TIPO: RASA;UN;4,0000;75,0800;300,3200;0,0000;31/12/2026
