Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;18;Material;930290-22/2026;Brindes;Catálogo do Compras.gov.br;Material;8415;VESTUÁRIO PARA FINS ESPECIAIS;;;;;-;0,0000;0,0000;279500,0000;0,0000;01/09/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;1;Material;930290-33/2026;Aquisição de bolsas de hemocomponentes;Catálogo do Compras.gov.br;Material;6515;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS;4169;BOLSA COLETORA DE HEMODERIVADOS;;;-;0,0000;0,0000;7000000,0000;0,0000;31/03/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;2;Material;930290-30/2026;Aquisição de reagentes laboratoriais;Catálogo do Compras.gov.br;Material;6550;SUBSTÂNCIAS PARA DIAGNÓSTICO "IN VITRO",  REAGENTES,  CONJUNTOS E JOGOS PARA TESTE;;;;;-;0,0000;0,0000;13650000,0000;0,0000;31/03/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;3;Serviço;930290-29/2026;GRSS;Catálogo do Compras.gov.br;Serviço;732;SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS;;;;;-;0,0000;0,0000;200000,0000;0,0000;31/08/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;4;Serviço;930290-29/2026;GRSS;Catálogo do Compras.gov.br;Serviço;853;SERVIÇOS DE LIMPEZA;;;16527;LIMPEZA DE FOSSA / ESGOTO / BOCA DE LOBO;-;24,0000;1000,0000;24000,0000;0,0000;31/08/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;5;Serviço;930290-29/2026;GRSS;Catálogo do Compras.gov.br;Serviço;861;SERVIÇOS RELATIVOS À AGRICULTURA, CAÇA, REFLORESTAMENTO E PESCA;;;15130;PODA, CORTE, ARRANCAMENTO DE ÁRVORES - ÁREAS PÚBLICA / PARTICULAR;-;12,0000;3000,0000;36000,0000;0,0000;31/08/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;6;Serviço;930290-28/2026;Manutençãoo de equipamentos;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;3565;MANUTENÇÃO DE VEÍCULOS LEVES E PESADOS;-;12,0000;10000,0000;120000,0000;0,0000;31/08/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;7;Serviço;930290-27/2026;Serviços de sorologia, hemoglobinômetro e controle de qualidade;Catálogo do Compras.gov.br;Serviço;835;SERVIÇOS CIENTÍFICOS E OUTROS SERVIÇOS TÉCNICOS;;;19127;CONTROLE QUALIDADE - LABORATÓRIO;-;1,0000;45000,0000;45000,0000;0,0000;31/07/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;8;Serviço;930290-27/2026;Serviços de sorologia, hemoglobinômetro e controle de qualidade;Catálogo do Compras.gov.br;Serviço;835;SERVIÇOS CIENTÍFICOS E OUTROS SERVIÇOS TÉCNICOS;;;;;-;0,0000;0,0000;1391438,4000;0,0000;31/07/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;9;Serviço;930290-27/2026;Serviços de sorologia, hemoglobinômetro e controle de qualidade;Catálogo do Compras.gov.br;Serviço;835;SERVIÇOS CIENTÍFICOS E OUTROS SERVIÇOS TÉCNICOS;;;;;-;0,0000;0,0000;1642599,0000;0,0000;31/07/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;10;Serviço;930290-27/2026;Serviços de sorologia, hemoglobinômetro e controle de qualidade;Catálogo do Compras.gov.br;Serviço;835;SERVIÇOS CIENTÍFICOS E OUTROS SERVIÇOS TÉCNICOS;;;;;-;0,0000;0,0000;389000,0000;0,0000;31/07/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;11;Serviço;930290-25/2026;Contratação da ISO;Catálogo do Compras.gov.br;Serviço;831;SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO;;;19755;CONSULTORIA E ASSESSORIA - CERTIFICAÇÃO;-;1,0000;35000,0000;35000,0000;0,0000;03/07/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;12;Material;930290-24/2026;Aquisição de equipamentos biomédicos;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;;;;;-;0,0000;0,0000;700000,0000;0,0000;01/06/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;13;Material;930290-24/2026;Aquisição de equipamentos biomédicos;Catálogo do Compras.gov.br;Material;6515;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS;;;;;-;0,0000;0,0000;600000,0000;0,0000;01/06/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;14;Material;930290-24/2026;Aquisição de equipamentos biomédicos;Catálogo do Compras.gov.br;Material;6515;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS;4169;BOLSA COLETORA DE HEMODERIVADOS;;;-;0,0000;0,0000;9000000,0000;0,0000;01/06/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;15;Material;930290-24/2026;Aquisição de equipamentos biomédicos;Catálogo do Compras.gov.br;Material;6515;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS;;;;;-;0,0000;0,0000;1800000,0000;0,0000;01/06/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;16;Material;930290-24/2026;Aquisição de equipamentos biomédicos;Catálogo do Compras.gov.br;Material;6515;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS;5649;CONJUNTO COLETA COMPONENTES SANGUE;;;-;0,0000;0,0000;500000,0000;0,0000;01/06/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;17;Material;930290-24/2026;Aquisição de equipamentos biomédicos;Catálogo do Compras.gov.br;Material;6630;INSTRUMENTOS PARA ANÁLISES QUÍMICAS;19063;PEÇA/COMPONENTE ESTERILIZADOR;;;-;0,0000;0,0000;300000,0000;0,0000;01/06/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;19;Serviço;930290-20/2026;Serviço de vigilância armada;Catálogo do Compras.gov.br;Serviço;852;SERVIÇOS DE INVESTIGAÇÃO E SEGURANÇA;;;;;-;0,0000;0,0000;1200000,0000;0,0000;03/08/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;20;Serviço;930290-15/2026;Fornecimento de gases medicionais;Catálogo do Compras.gov.br;Material;8120;CILINDROS COMERCIAIS E INDUSTRIAIS PARA GASES;19738;BOTIJÃO PARA GÁS;;;-;0,0000;0,0000;30000,0000;0,0000;30/04/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;21;Soluções de TIC;930290-12/2026;Equipamentos e insumos para TI;Catálogo do Compras.gov.br;Material;7080;PEÇAS, ACESSÓRIOS E FERRAMENTAS PARA REDES DE TIC;;;;;-;0,0000;0,0000;150000,0000;0,0000;29/05/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;22;Soluções de TIC;930290-12/2026;Equipamentos e insumos para TI;Catálogo do Compras.gov.br;Material;7090;SUPRIMENTOS DE INFORMÁTICA - TIC;21;ETIQUETA ADESIVA;;;-;0,0000;0,0000;100000,0000;0,0000;29/05/2026
CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO RN;930290;23;Material;930290-11/2026;Processos licitatórios de consumíveis plásticos;Catálogo do Compras.gov.br;Material;9330;ARTIGOS DE PLÁSTICO;3681;MATERIAL HOSPITALAR;;;-;0,0000;0,0000;500000,0000;0,0000;01/06/2026
