Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
ERN - HOSPITAL COLÔNIA DR. JOÃO MACHADO;927848;2;Serviço;927848-35/2026;SERVIÇOS DE REPARO DE OUTROS BENS;Catálogo do Compras.gov.br;Serviço;872;SERVIÇOS DE REPARO DE OUTROS BENS;;;;;-;0,0000;0,0000;60000,0000;0,0000;26/11/2026
ERN - HOSPITAL COLÔNIA DR. JOÃO MACHADO;927848;3;Serviço;927848-34/2026;OUTROS SERVIÇOS DE SUPORTE;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;1235020,0000;0,0000;31/12/2026
ERN - HOSPITAL COLÔNIA DR. JOÃO MACHADO;927848;50;Material;927848-22/2026;EQUIPAMENTO DE AR CONDICIONADO;Catálogo do Compras.gov.br;Material;4120;EQUIPAMENTO DE AR CONDICIONADO;;;;;-;0,0000;0,0000;300000,0000;0,0000;01/12/2026
ERN - HOSPITAL COLÔNIA DR. JOÃO MACHADO;927848;51;Material;927848-21/2026;EQUIPAMENTO DE AR CONDICIONADO;Catálogo do Compras.gov.br;Material;4120;EQUIPAMENTO DE AR CONDICIONADO;;;;;-;0,0000;0,0000;350000,0000;0,0000;30/09/2026
ERN - HOSPITAL COLÔNIA DR. JOÃO MACHADO;927848;65;Material;927848-7/2026;EQUIPAMENTO PARA REFRIGERAÇÃO;Catálogo do Compras.gov.br;Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;;;;;-;0,0000;0,0000;80000,0000;0,0000;01/12/2026
ERN - HOSPITAL COLÔNIA DR. JOÃO MACHADO;927848;63;Material;927848-11/2026;MOBILIÁRIOS DIVERSOS E ACESSÓRIOS;Catálogo do Compras.gov.br;Material;7195;MOBILIÁRIOS DIVERSOS E ACESSÓRIOS;;;;;-;0,0000;0,0000;1033100,0000;0,0000;30/09/2026
ERN - HOSPITAL COLÔNIA DR. JOÃO MACHADO;927848;1;Serviço;927848-36/2026;SERVIÇOS DE SANEAMENTO E SERVIÇOS SIMILARES;Catálogo do Compras.gov.br;Serviço;943;SERVIÇOS DE SANEAMENTO E SERVIÇOS SIMILARES;;;14150;TRATAMENTO DE ÁGUA PARA CONSUMO HUMANO / INDUSTRIAL;-;12,0000;7000,0000;84000,0000;0,0000;31/12/2026
ERN - HOSPITAL COLÔNIA DR. JOÃO MACHADO;927848;4;Serviço;927848-33/2026;SERVIÇOS DE FORNECIMENTO DE COMIDA;Catálogo do Compras.gov.br;Serviço;632;SERVIÇOS DE FORNECIMENTO DE COMIDA;;;;;-;0,0000;0,0000;1300000,0000;0,0000;26/11/2026
ERN - HOSPITAL COLÔNIA DR. JOÃO MACHADO;927848;5;Soluções de TIC;927848-32/2026;SERVIÇOS AUXILIARES DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO (TIC);Catálogo do Compras.gov.br;Serviço;168;SERVIÇOS AUXILIARES DE TECNOLOGIA DA INFORMAÇÃO  E  COMUNICAÇÃO (TIC);;;27260;SERVIÇOS AUXILIARES DE TECNOLOGIA INFORMAÇÃO E COMUNICAÇÃO;-;24,0000;10760,0000;258240,0000;0,0000;31/12/2026
ERN - HOSPITAL COLÔNIA DR. JOÃO MACHADO;927848;6;Serviço;927848-31/2026;OUTSOURCING DE IMPRESSÃO - MODALIDADE LOCAÇÃO DE EQUIPAMENTOMAIS PÁGINAS IMPRESSAS;Catálogo do Compras.gov.br;Serviço;152;OUTSOURCING DE IMPRESSÃO - MODALIDADE LOCAÇÃO DE EQUIPAMENTOMAIS PÁGINAS IMPRESSAS;;;30135;OUTSOURCING DE  IMPRESSAO - IMPRESSORA TÉRMICA;-;1200,0000;4,0000;4800,0000;0,0000;30/11/2026
