Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
ERN - HOSPITAL GISELDA TRIGUEIRO;927417;33;Material;927417-46/2026;insumos para enfermagem;Catálogo do Compras.gov.br;Material;9310;PAPÉIS E PAPELÕES;;;;;-;0,0000;0,0000;60000,0000;0,0000;31/12/2026
ERN - HOSPITAL GISELDA TRIGUEIRO;927417;68;Material;927417-41/2026;Material tecnologia para fisioterapia;Catálogo do Compras.gov.br;Material;7010;COMPUTADORES;;;;;-;0,0000;0,0000;20000,0000;0,0000;31/12/2026
ERN - HOSPITAL GISELDA TRIGUEIRO;927417;69;Material;927417-41/2026;Material tecnologia para fisioterapia;Catálogo do Compras.gov.br;Material;9999;ITENS DIVERSOS;;;;;-;0,0000;0,0000;20000,0000;0,0000;31/12/2026
ERN - HOSPITAL GISELDA TRIGUEIRO;927417;228;Serviço;927417-51/2026;confecção de impressos;Catálogo do Compras.gov.br;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;;;-;0,0000;0,0000;50000,0000;0,0000;31/12/2026
ERN - HOSPITAL GISELDA TRIGUEIRO;927417;230;Serviço;927417-49/2026;editoração de diário e publicações;Catálogo do Compras.gov.br;Material;7630;JORNAIS E PERIÓDICOS;;;;;-;0,0000;0,0000;36000,0000;0,0000;31/12/2026
ERN - HOSPITAL GISELDA TRIGUEIRO;927417;231;Material;927417-48/2026;Mobiliário;Catálogo do Compras.gov.br;Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;;;;;-;0,0000;0,0000;25000,0000;0,0000;31/12/2026
ERN - HOSPITAL GISELDA TRIGUEIRO;927417;232;Material;927417-48/2026;Mobiliário;Catálogo do Compras.gov.br;Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;;;;;-;0,0000;0,0000;110000,0000;0,0000;31/12/2026
ERN - HOSPITAL GISELDA TRIGUEIRO;927417;7;Serviço;927417-7/2026;Manutenção elevadores;Catálogo do Compras.gov.br;Material;3960;ELEVADORES E ESCADAS ROLANTES;;;;;-;0,0000;0,0000;40000,0000;0,0000;30/06/2026
ERN - HOSPITAL GISELDA TRIGUEIRO;927417;31;Material;927417-4/2026;Aquisição de Acessórios de Enfermagem;Catálogo do Compras.gov.br;Material;6515;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS;;;;;-;0,0000;0,0000;55000,0000;0,0000;31/03/2026
ERN - HOSPITAL GISELDA TRIGUEIRO;927417;1;Material;927417-8/2026;MAterial de refrigeração;Catálogo do Compras.gov.br;Material;4610;EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA;;;;;-;0,0000;0,0000;50000,0000;0,0000;30/06/2026
